company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Chevrolet,Captiva,2008,96,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,185.000.000 đ
Ford,Ranger,2022,14000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,990.000.000 đ
Hyundai,Avante,2013,81999,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,275.000.000 đ
Toyota,Fortuner,2012,68000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,415.000.000 đ
Toyota,Innova,2014,150000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,300.000.000 đ
Toyota,Vios,2022,31000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,418.000.000 đ
Mazda,CX 5,2020,30000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,738.000.000 đ
Hyundai,Santa Fe,2023,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,,,,,250.000.000 đ
MG,5,2022,4000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,490.000.000 đ
Toyota,Vios,2018,48000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,322.000.000 đ
Chevrolet,Cruze,2018,67000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,286.000.000 đ
Ford,Territory,2023,10000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,860.000.000 đ
Vinfast,VFe34,2023,11000,Đã sử dụng,Tự động,Điện,Việt Nam,,,,,,465.000.000 đ
Toyota,Yaris,2009,100000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,265.000.000 đ
Toyota,Innova,2006,150000,Đã sử dụng,Số sàn,Xăng,,Minivan (MPV),,,,,198.000.000 đ
Hyundai,Santa Fe,2016,110000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,615.000.000 đ
Toyota,Hiace,2007,140000,Đã sử dụng,Số sàn,Dầu,Nhật Bản,,,,,,195.000.000 đ
Mercedes Benz,GLC Class,2017,48000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,1.098.000.000 đ
Vinfast,Fadil,2022,17000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,335.000.000 đ
Ford,EcoSport,2021,25000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,495.000.000 đ
Toyota,Innova,2018,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,585.000.000 đ
Vinfast,Lux A2.0,2020,21400,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,665.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Hàn Quốc,,5,,,,112.000.000 đ
Hyundai,Tucson,2018,80000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,669.000.000 đ
Suzuki,Swift,2016,61000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,330.000.000 đ
Vinfast,Fadil,2022,8000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,315.000.000 đ
Hyundai,Tucson,2018,80000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,669.000.000 đ
Suzuki,Swift,2016,61000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,330.000.000 đ
Vinfast,Fadil,2022,8000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,315.000.000 đ
Isuzu,NMR,2018,950000,Đã sử dụng,Tự động,Dầu,Nhật Bản,,,,,,440.000.000 đ
Ford,Ranger,2020,40000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,550.000.000 đ
Toyota,Corolla Cross,2021,5700,Đã sử dụng,5,Xăng,Thái Lan,,,,,,760.000.000 đ
Toyota,Innova,2016,94500,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,298.000.000 đ
Toyota,Corolla Altis,2011,123210,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,360.000.000 đ
Mitsubishi,Jolie,2003,100000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,63.000.000 đ
Ford,Ranger,2023,13000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,665.000.000 đ
Ford,Ranger,2015,45000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,350.000.000 đ
Hyundai,Accent,2015,100000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,295.000.000 đ
Kia,Morning,2019,85000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,215.000.000 đ
Audi,Q7,2014,69000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,870.000.000 đ
Mercedes Benz,C Class,2022,10000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.820.000.000 đ
Toyota,Fortuner,2011,90000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,378.000.000 đ
Hyundai,Azera,2007,80000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,280.000.000 đ
Mitsubishi,Xpander,2023,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,598.000.000 đ
Nissan,Sunny,2017,70000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,340.000.000 đ
Mazda,CX 5,2017,73000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,559.000.000 đ
Mitsubishi,Xpander,2023,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,598.000.000 đ
Nissan,Sunny,2017,70000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,340.000.000 đ
Mazda,CX 5,2017,73000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,559.000.000 đ
Kia,Morning,2008,130000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,168.000.000 đ
Rover,Dòng khác,2015,153000,Đã sử dụng,Tự động,Dầu,Nước khác,,,,,,2.700.000.000 đ
Toyota,Corolla Cross,2022,10000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,699.000.000 đ
Hyundai,Grand i10,2017,88000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,279.000.000 đ
Mercedes Benz,E Class,2020,16000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,2.000.000.000 đ
Toyota,Veloz Cross,2022,13000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,595.000.000 đ
Nissan,Navara,2021,36000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,660.000.000 đ
Kia,Carnival,2022,16500,Đã sử dụng,Tự động,Dầu,Hàn Quốc,,,,,,1.339.000.000 đ
Ford,Ranger,2022,19000,Đã sử dụng,Tự động,Dầu,,Pick-up (bán tải),,,,,625.000.000 đ
Kia,Sorento,2017,78000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,560.000.000 đ
Mitsubishi,Xpander,2020,54000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,505.000.000 đ
Hyundai,Santa Fe,2020,35000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,765.000.000 đ
Mazda,3,2016,60000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,390.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Hàn Quốc,Sedan,,,,,542.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Việt Nam,,5,,,,542.100.000 đ
Hyundai,Elantra,2017,65000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,375.000.000 đ
Toyota,Fortuner,2019,92000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,830.000.000 đ
Hyundai,Elantra,2017,65000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,375.000.000 đ
Toyota,Fortuner,2019,92000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,830.000.000 đ
Ford,Ranger,2020,50998,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,550.000.000 đ
Toyota,Innova,2015,100000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,265.000.000 đ
Hyundai,Creta,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,598.000.000 đ
Toyota,Fortuner,2020,50000,Đã sử dụng,Tự động,Dầu,,SUV / Cross over,,,,,855.000.000 đ
Chevrolet,Cruze,2010,78000,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,195.000.000 đ
Kia,Morning,2014,138000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,145.000.000 đ
Toyota,Innova,2019,68000,Đã sử dụng,Tự động,Xăng,,Minivan (MPV),,,,,610.000.000 đ
Kia,Sedona,2019,48000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,830.000.000 đ
Toyota,Innova,2014,91000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,368.000.000 đ
Mercedes Benz,GLB,2022,30,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.620.000.000 đ
Ford,Ranger,2020,40000,Đã sử dụng,Tự động,Dầu,,Pick-up (bán tải),,,,,550.000.000 đ
Mitsubishi,Outlander,2019,75000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,615.000.000 đ
Toyota,Avanza,2023,,Mới,Tự động,Xăng,Việt Nam,Minivan (MPV),,,,,530.000.000 đ
Kia,Seltos,2020,43000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,565.000.000 đ
Hãng khác,Dòng khác,2008,94646,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,,,,,,49.000.000 đ
Lexus,LS,1992,178378,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,105.000.000 đ
Mitsubishi,Outlander,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,716.000.000 đ
Mercedes Benz,GLK Class,2014,98000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,625.000.000 đ
Toyota,Innova,2016,112839,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,380.000.000 đ
Honda,Civic,2007,160000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,209.000.000 đ
Kia,Sorento,2016,80000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,478.000.000 đ
Chevrolet,Spark,2017,93071,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,165.000.000 đ
Honda,CR V,2022,34000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,930.000.000 đ
Hyundai,Kona,2022,20000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,593.000.000 đ
Hãng khác,Dòng khác,2023,,Mới,Số sàn,Xăng,Việt Nam,,2,,,,335.000.000 đ
Peugeot,3008,2022,26000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,849.000.000 đ
Ford,Everest,2023,,Mới,Tự động,Dầu,Thái Lan,SUV / Cross over,,,,,1.178.000.000 đ
Chevrolet,Captiva,2017,,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,429.000.000 đ
Kia,Sedona,2020,24000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,919.000.000 đ
Hyundai,i30,2010,90000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,265.000.000 đ
Lexus,ES,2015,58000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,1.320.000.000 đ
Toyota,1174,2023,,Mới,Tự động,Xăng,Nước khác,,5,,,,635.000.000 đ
Honda,Civic,2021,4000,Đã sử dụng,5,Xăng,Thái Lan,,,,,,735.000.000 đ
Vinfast,Lux A2.0,2022,21000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,590.000.000 đ
Ford,Everest,2023,,Mới,Tự động,Dầu,Thái Lan,SUV / Cross over,,,,,1.352.000.000 đ
Ford,EcoSport,2016,77200,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,370.000.000 đ
Toyota,Vios,2019,70000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,352.000.000 đ
Kia,Seltos,2020,20000,Đã sử dụng,Bán tự động,Xăng,Nhật Bản,,,,,,590.000.000 đ
Kia,Seltos,2020,20000,Đã sử dụng,Bán tự động,Xăng,Nhật Bản,,,,,,590.000.000 đ
Ford,Ranger,2021,29000,Đã sử dụng,Tự động,Dầu,,Pick-up (bán tải),,,,,748.000.000 đ
Hyundai,Accent,2020,75000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,340.000.000 đ
Hyundai,Tucson,2020,60000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,699.000.000 đ
Mitsubishi,Pajero Sport,2013,140000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,360.000.000 đ
Mercedes Benz,C Class,2019,36000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,1.069.000.000 đ
Mitsubishi,Xpander,2020,41000,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,,,,460.000.000 đ
Mitsubishi,Xpander,2021,35000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,545.000.000 đ
Hyundai,Tucson,2020,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,699.000.000 đ
Kia,Cerato,2011,100000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,275.000.000 đ
Mercedes Benz,V Class,2019,30000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.639.000.000 đ
Kia,Sportage,2010,130000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,375.000.000 đ
Subaru,Forester,2023,,Mới,Tự động,Xăng,Thái Lan,SUV / Cross over,,,,,823.000.000 đ
Mazda,3,2022,37000,Đã sử dụng,Tự động,Xăng,,,5,,,,559.000.000 đ
Toyota,Innova,2012,245983,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,300.000.000 đ
Toyota,Vios,2019,68000,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,,,,345.000.000 đ
Mazda,BT 50,2019,32698,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,495.000.000 đ
Hyundai,Grand i10,2016,110000,Đã sử dụng,Số sàn,Xăng,Ấn Độ,,,,,,175.000.000 đ
Toyota,Innova,2018,48000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,525.000.000 đ
Hyundai,i30,2014,7800,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,360.000.000 đ
Kia,Sonet,2022,10000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,505.000.000 đ
LandRover,Range Rover,2012,7000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,1.320.000.000 đ
Ford,Transit,2019,85000,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,616.000.000 đ
Mercedes Benz,E Class,2022,30,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.150.000.000 đ
Kia,Morning,2016,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,270.000.000 đ
Hyundai,Grand i10,2019,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,345.000.000 đ
Hyundai,Santa Fe,2023,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,,,,,960.000.000 đ
Mazda,6,2021,30000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,668.000.000 đ
Kia,Sportage,2011,75000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,375.000.000 đ
Suzuki,XL 7,2021,10000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,545.000.000 đ
Mazda,6,2014,39000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,418.000.000 đ
Toyota,Aygo,2007,75378,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,175.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,96.000.000 đ
Mazda,CX 5,2023,2300,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,799.000.000 đ
Hyundai,i30,2011,112000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,280.000.000 đ
Kia,Carens,2015,5000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,215.000.000 đ
BMW,3 Series,2004,95000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,99.000.000 đ
Mitsubishi,Xpander,2023,,Mới,Tự động,Xăng,Nhật Bản,Minivan (MPV),,,,,524.000.000 đ
Hyundai,Tucson,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,763.000.000 đ
Toyota,Innova,2011,152000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,279.000.000 đ
Hyundai,Tucson,2021,28000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,750.000.000 đ
BMW,6 Series,2012,60000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,999.000.000 đ
Toyota,Vios,2019,60000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,355.000.000 đ
Kia,Sonet,2021,36000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,550.000.000 đ
Ford,Ranger,2022,19000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,,,,,,635.000.000 đ
Chevrolet,Cruze,2016,55000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,320.000.000 đ
Ford,Fiesta,2021,110000,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,200.000.000 đ
Toyota,Vios,2015,65000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,350.000.000 đ
Mercedes Benz,GLC Class,2018,55000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.180.000.000 đ
Suzuki,Swift,2015,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,305.000.000 đ
Ford,EcoSport,2016,55000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,365.000.000 đ
Kia,Sorento,2013,63000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,380.000.000 đ
Hyundai,Stargazer,2023,,Mới,Tự động,Xăng,Hàn Quốc,Minivan (MPV),,,,,473.000.000 đ
Kia,Seltos,2020,35000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,589.000.000 đ
Mazda,CX 8,2021,28000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,875.000.000 đ
Kia,Carnival,2022,38000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,1.230.000.000 đ
Toyota,Innova,2020,59400,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,580.000.000 đ
Toyota,Vios,2018,52000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,328.000.000 đ
Hyundai,Grand i10,2015,95000,Đã sử dụng,Số sàn,Xăng,Ấn Độ,,,,,,172.000.000 đ
Mercedes Benz,GLC Class,2022,30,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.260.000.000 đ
Renault,Megane,2012,98400,Đã sử dụng,Số sàn,Xăng,Nước khác,,,,,,690.000.000 đ
Toyota,Corolla Cross,2022,2000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,810.000.000 đ
Hyundai,Accent,2014,100000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,315.000.000 đ
Toyota,Corolla Cross,2023,,Mới,Tự động,Xăng,Thái Lan,SUV / Cross over,,,,,755.000.000 đ
MG,HS,2022,53000,Đã sử dụng,Tự động,Xăng,Trung Quốc,,,,,,530.000.000 đ
Hyundai,Tucson,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,769.000.000 đ
Toyota,Fortuner,2015,76000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,525.000.000 đ
Ford,Everest,2009,127000,Đã sử dụng,Số sàn,Dầu,Mỹ,,,,,,300.000.000 đ
Audi,A6,2006,12000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,279.000.000 đ
Mercedes Benz,C Class,2011,78379,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,305.000.000 đ
Hyundai,Stargazer,2022,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,45.000.000 đ
Toyota,Yaris,2018,35800,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,459.000.000 đ
Hãng khác,Dòng khác,2010,99999,Đã sử dụng,Số sàn,Xăng,Trung Quốc,,,,,,60.000.000 đ
Toyota,Vios,2017,110000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,375.000.000 đ
Bentley,Flying Spur,2010,42000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,2.500.000.000 đ
Chevrolet,Trailblazer,2018,5000,Đã sử dụng,Tự động,Dầu,,SUV / Cross over,,,,,525.000.000 đ
Mercedes Benz,C Class,2013,52000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,399.000.000 đ
Honda,City,2017,71000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,368.000.000 đ
Hyundai,Santa Fe,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,960.000.000 đ
Mercedes Benz,C Class,2021,31000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.268.000.000 đ
Toyota,Camry,2019,45000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,799.000.000 đ
Ford,EcoSport,2019,59000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,449.000.000 đ
Toyota,Corolla Cross,2022,11000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,698.000.000 đ
Toyota,Corolla,2010,220000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,340.000.000 đ
Hyundai,i20,2013,77000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,280.000.000 đ
Mazda,3,2017,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,430.000.000 đ
Honda,City,2017,135999,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,332.000.000 đ
Toyota,Fortuner,2018,661000,Đã sử dụng,Bán tự động,Xăng,,SUV / Cross over,,,,,710.000.000 đ
Kia,Carens,2015,120000,Đã sử dụng,Số sàn,Xăng,,SUV / Cross over,,,,,245.000.000 đ
Honda,City,2022,19000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,489.000.000 đ
Ford,Ranger,2017,95000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,550.000.000 đ
Toyota,Vios,2010,125000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,295.000.000 đ
Honda,CR V,2021,17000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,880.000.000 đ
Hyundai,Accent,2020,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,395.000.000 đ
Toyota,Innova,2015,100000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,355.000.000 đ
Ford,Transit,2014,120000,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,348.000.000 đ
Toyota,Innova,2013,128338,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,279.000.000 đ
