company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Volkswagen,Tiguan,2023,,Mới,Tự động,Xăng,Đức,SUV / Cross over,,,,,1.499.000.000 đ
Mercedes Benz,E Class,2020,20000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,1.280.000.000 đ
Daewoo,Lacetti,2005,112000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,109.000.000 đ
Toyota,Innova,2019,56,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,,,,439.000.000 đ
Luxgen,5,2013,44000,Đã sử dụng,Tự động,Xăng,Đài Loan,,,,,,445.000.000 đ
Ford,Everest,2021,45214,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,940.000.000 đ
Hãng khác,Dòng khác,2021,21000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,760.000.000 đ
Mitsubishi,Xpander,2020,53000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,498.000.000 đ
Kia,Carnival,2023,,Mới,Tự động,Dầu,Việt Nam,Minivan (MPV),,,,,1.209.000.000 đ
Mercedes Benz,GLC Class,2022,9700,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.199.000.000 đ
Suzuki,Ertiga,2022,,Mới,Số sàn,Động cơ Hybrid,Nước khác,Minivan (MPV),,,,,538.000.000 đ
Kia,Sonet,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,519.000.000 đ
Toyota,Corolla Cross,2021,20000,Đã sử dụng,5,Xăng,Thái Lan,,,,,,685.000.000 đ
Honda,CR V,2022,33000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,899.000.000 đ
Ford,Everest,2022,12000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,1.329.000.000 đ
Kia,Sonet,2021,36600,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,550.000.000 đ
Ford,Laser,2003,123,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,119.000.000 đ
Mercedes Benz,E Class,2018,47000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.330.000.000 đ
Toyota,Veloz,2023,,Mới,Tự động,Xăng,Việt Nam,,7,,,,628.000.000 đ
Mercedes Benz,E Class,2016,66000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.268.000.000 đ
Hyundai,Stargazer,2022,,Mới,Tự động,Xăng,Nước khác,SUV / Cross over,,,,,473.000.000 đ
Volkswagen,Teramont,2023,,Mới,Tự động,Xăng,Đức,SUV / Cross over,,,,,2.099.000.000 đ
Ford,Ranger,2021,35000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,565.000.000 đ
Mercedes Benz,E Class,2016,70000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.268.000.000 đ
Mazda,3,2017,68000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,450.000.000 đ
Ford,Ranger,2022,18000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,,,,,,845.000.000 đ
Mitsubishi,Xpander,2021,49000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,530.000.000 đ
Mercedes Benz,GLC,2017,75000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,1.070.000.000 đ
Kia,Cerato,2016,80000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,385.000.000 đ
Mercedes Benz,C Class,2018,27000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,879.000.000 đ
Honda,Accord,1992,23888,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,45.000.000 đ
Mercedes Benz,GLC Class,2022,900,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.299.000.000 đ
Ford,Mondeo,2003,123456,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,90.000.000 đ
Ferrari,456,2001,100000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,15.500.000 đ
Mazda,CX 5,2014,130000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,419.000.000 đ
Hyundai,Grand i10,2017,520000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,296.000.000 đ
Mazda,CX-30,2023,4000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,740.000.000 đ
Hyundai,Grand i10,2016,165000,Đã sử dụng,Số sàn,Xăng,Ấn Độ,,,,,,185.000.000 đ
Toyota,Veloz,2023,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,618.000.000 đ
Toyota,Innova,2008,150,Đã sử dụng,Số sàn,Xăng,,SUV / Cross over,,,,,209.000.000 đ
Toyota,Fortuner,2013,78,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,359.000.000 đ
Mercedes Benz,C Class,2022,30,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.689.000.000 đ
Ford,Ranger,2012,1,Đã sử dụng,Số sàn,Dầu,,Pick-up (bán tải),,,,,265.000.000 đ
Toyota,Innova,2012,98000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,290.000.000 đ
Toyota,Innova,2013,99,Đã sử dụng,Số sàn,Xăng,,SUV / Cross over,,,,,269.000.000 đ
Vinfast,Lux SA2.0,2020,50000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,760.000.000 đ
Lexus,RX,2008,92000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,490.000.000 đ
Toyota,Innova Cross,2023,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,810.000.000 đ
Honda,Civic,2008,100000,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,180.000.000 đ
Lexus,RX,2008,92000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,445.000.000 đ
Mercedes Benz,Maybach,2016,45000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,3.150.000.000 đ
Mitsubishi,Triton,2022,10000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,555.000.000 đ
Kia,Sorento,2021,33000,Đã sử dụng,Tự động,Dầu,,SUV / Cross over,,,,,929.000.000 đ
Hyundai,Grand i10,2019,56,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,289.000.000 đ
BMW,3 Series,2011,111111,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,315.000.000 đ
Ford,Ranger,2023,,Đã sử dụng,Tự động,Dầu,Việt Nam,Pick-up (bán tải),,,,,625.000.000 đ
Ford,Ranger,2015,33000,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,350.000.000 đ
Mazda,3,2021,20000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,699.000.000 đ
Ford,Territory,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,954.000.000 đ
Hyundai,Stargazer,2022,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,66.000.000 đ
Vinfast,Lux SA2.0,2021,20000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,855.000.000 đ
Hyundai,Santa Fe,2020,39000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,849.000.000 đ
Ford,Everest,2023,,Mới,Tự động,Dầu,Thái Lan,SUV / Cross over,,,,,1.099.000.000 đ
LandRover,Range Rover,2014,50000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,2.800.000.000 đ
Mercedes Benz,C Class,2021,31000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.268.000.000 đ
Toyota,Innova,2017,120000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,442.000.000 đ
Hyundai,Santa Fe,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,959.000.000 đ
Mercedes Benz,C Class,2017,80000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,779.000.000 đ
Ford,EcoSport,2018,36000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,445.000.000 đ
Suzuki,Ertiga,2022,,Mới,Tự động,Xăng,Nước khác,SUV / Cross over,,,,,608.000.000 đ
Chevrolet,Cruze,2014,40000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,285.000.000 đ
Hyundai,i30,2009,90000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,275.000.000 đ
Toyota,Vios,2020,45000,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,,,,,,375.000.000 đ
Hyundai,Accent,2022,20000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,475.000.000 đ
Toyota,Innova,2014,95000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,196.000.000 đ
Toyota,Vios,2019,64000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,435.000.000 đ
Mercedes Benz,C Class,2023,7000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.400.000.000 đ
Mercedes Benz,E Class,2021,21700,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.250.000.000 đ
Hyundai,Santa Fe,2021,22000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,998.000.000 đ
Hyundai,Grand i10,2021,55000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,355.000.000 đ
Kia,Morning,2023,,Mới,Tự động,Xăng,Thái Lan,Sedan,,,,,76.000.000 đ
Hyundai,Elantra,2017,67000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,430.000.000 đ
Toyota,Vios,2020,90000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,445.000.000 đ
Toyota,Vios,2020,90000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,445.000.000 đ
Toyota,Innova,2008,163287,Đã sử dụng,Số sàn,Xăng,,Minivan (MPV),,,,,238.000.000 đ
Toyota,Fortuner,2022,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,,,,,956.000.000 đ
Mercedes Benz,C Class,2012,100000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,398.000.000 đ
Kia,Morning,2011,99000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,199.000.000 đ
Mercedes Benz,C Class,2009,9000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,245.000.000 đ
Toyota,Corolla Altis,2009,9000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,285.000.000 đ
Suzuki,Celerio,2018,60000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,300.000.000 đ
Mitsubishi,Jolie,2006,32879,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,116.000.000 đ
Hyundai,Tucson,2017,55000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,600.000.000 đ
Toyota,Vios,2018,80000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,310.000.000 đ
Ford,Ranger,2021,30000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,579.000.000 đ
Ford,Ranger,2020,59000,Đã sử dụng,Tự động,Dầu,,Pick-up (bán tải),,,,,729.000.000 đ
Hyundai,Grand i10,2017,51000,Đã sử dụng,Số sàn,Xăng,Ấn Độ,,,,,,215.000.000 đ
Ford,Mondeo,2003,100000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,90.000.000 đ
Ford,Transit,2007,100000,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,,,,,,145.000.000 đ
Lexus,ES,2022,5000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,2.300.000.000 đ
Chevrolet,Captiva,2007,112000,Đã sử dụng,Số sàn,Xăng,,,7,,,,148.000.000 đ
Hyundai,Grand i10,2016,52000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,295.000.000 đ
Hyundai,Tucson,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,762.000.000 đ
Hyundai,Tucson,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,762.000.000 đ
Kia,Morning,2020,39000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,305.000.000 đ
Toyota,Innova,2013,100000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,228.000.000 đ
Toyota,Vios,2011,90000,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,15.700.000 đ
Toyota,Vios,2019,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,410.000.000 đ
Mini,Cooper,2018,40000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.199.000.000 đ
Honda,City,2017,41000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,375.000.000 đ
Hyundai,Grand i10,2020,45000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,295.000.000 đ
Honda,City,2017,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,398.000.000 đ
Kia,Sorento,2021,23000,Đã sử dụng,Tự động,Dầu,Hàn Quốc,,,,,,980.000.000 đ
Mitsubishi,Jolie,2002,96000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,58.000.000 đ
Hyundai,i30,2008,110000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,236.000.000 đ
Volkswagen,Touareg,2023,,Mới,Tự động,Xăng,Nước khác,Sedan,,,,,2.699.000.000 đ
Kia,Carnival,2022,,Mới,Tự động,Xăng,Hàn Quốc,SUV / Cross over,,,,,1.684.000.000 đ
Mercedes Benz,GLC Class,2022,175,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,2.369.000.000 đ
Mitsubishi,Attrage,2023,,Mới,Số sàn,Xăng,Thái Lan,Sedan,,,,,380.000.000 đ
Mitsubishi,Xpander Cross,2023,,Mới,Tự động,Xăng,Nước khác,SUV / Cross over,,,,,110.000.000 đ
Kia,Morning,2019,13000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,298.000.000 đ
Toyota,Vios,2020,90000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,400.000.000 đ
Mazda,CX 5,2017,70000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,560.000.000 đ
Mazda,CX 5,2017,70000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,560.000.000 đ
Kia,Rondo,2016,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,392.000.000 đ
Mercedes Benz,E Class,2016,43000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.299.999.999 đ
Hyundai,Santa Fe,2023,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,,,,,1.182.000.000 đ
Ford,Escape,2008,150000,Đã sử dụng,Tự động,Động cơ Hybrid,,SUV / Cross over,,,,,199.000.000 đ
Kia,Carens,2011,62000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,270.000.000 đ
Mercedes Benz,C Class,2009,90000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,360.000.000 đ
Kia,Forte,2011,90000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,282.000.000 đ
Ford,EcoSport,2016,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,355.000.000 đ
Mitsubishi,Triton,2023,,Mới,Tự động,Xăng,Thái Lan,Pick-up (bán tải),,,,,733.000.000 đ
Toyota,Vios,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,560.000.000 đ
Ford,Focus,2008,25460,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,118.000.000 đ
Mitsubishi,Xpander,2021,22000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,548.000.000 đ
Hãng khác,Dòng khác,2023,100000,Đã sử dụng,Bán tự động,Xăng,Đang cập nhật,,,,,,300.000.000 đ
Lexus,ES,2008,89000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,535.000.000 đ
Toyota,Corolla,1994,200000,Đã sử dụng,Số sàn,Xăng,Mỹ,,,,,,76.000.000 đ
Mercedes Benz,E Class,2017,15000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,1.350.000.000 đ
Audi,Q7,2010,85000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,590.000.000 đ
Kia,Forte,2010,1899,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,178.000.000 đ
Toyota,Rush,2019,55000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,489.000.000 đ
Toyota,Fortuner,2011,15000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,350.000.000 đ
Mercedes Benz,C Class,2019,50000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.199.000.000 đ
Ford,EcoSport,2020,5000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,555.000.000 đ
Mercedes Benz,Dòng khác,2003,165052,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,165.000.000 đ
Mercedes Benz,A Class,2013,80000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,439.000.000 đ
Kia,Cerato,2011,120000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,,,,,,285.000.000 đ
Mitsubishi,Xpander,2021,45000,Đã sử dụng,Tự động,Xăng,,Minivan (MPV),,,,,555.000.000 đ
Mercedes Benz,C Class,2009,90000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,219.000.000 đ
Hyundai,Tucson,2022,16000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,868.000.000 đ
Mitsubishi,Xpander,2023,,Mới,Tự động,Xăng,Nước khác,SUV / Cross over,,,,,598.000.000 đ
Hyundai,Santa Fe,2018,680000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,750.000.000 đ
Volkswagen,Teramont,2023,,Mới,Tự động,Xăng,Đức,,7,,,,2.099.000.000 đ
Kia,Soluto,2023,,Mới,Tự động,Xăng,Hàn Quốc,Sedan,,,,,446.000.000 đ
Toyota,Vios,2019,70000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,398.000.000 đ
Kia,Sedona,2016,900000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,650.000.000 đ
Mitsubishi,Xpander,2023,,Mới,Tự động,Xăng,Nước khác,Minivan (MPV),,,,,560.000.000 đ
Mercedes Benz,GT Coupe,2022,798,Đã sử dụng,Tự động,Xăng,Đức,,,,,,6.200.000.000 đ
Ford,Ranger,2020,22368,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,636.000.000 đ
Toyota,Camry,2008,100000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,295.000.000 đ
Ford,Territory,2023,10000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,865.000.000 đ
Chevrolet,Cruze,2011,112000,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,188.000.000 đ
BMW,4 Series,2014,42000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,899.000.000 đ
Chevrolet,Cruze,2011,112000,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,188.000.000 đ
Vinfast,Lux A2.0,2019,16000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,595.000.000 đ
Honda,City,2019,32000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,419.000.000 đ
Lexus,ES,2022,5000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,2.299.000.000 đ
Hyundai,Dòng khác,2023,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,,,,,1.469.000.000 đ
Mercedes Benz,C Class,2007,160000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,269.000.000 đ
Mercedes Benz,ML Class,2008,100000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,395.000.000 đ
Hyundai,Santa Fe,2009,110000,Đã sử dụng,Tự động,Dầu,Hàn Quốc,,,,,,425.000.000 đ
Kia,Seltos,2021,54000,Đã sử dụng,5,Xăng,Hàn Quốc,,,,,,599.000.000 đ
Kia,K3,2015,87622,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,320.000.000 đ
Toyota,Veloz,2023,,Mới,Tự động,Xăng,Nước khác,SUV / Cross over,,,,,628.000.000 đ
Vinfast,Fadil,2020,42000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,295.000.000 đ
Daewoo,GentraX,2008,130000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,174.000.000 đ
Honda,CR V,2021,25000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,852.000.000 đ
Toyota,Zace,2001,153353,Đã sử dụng,Số sàn,Xăng,,SUV / Cross over,,,,,130.000.000 đ
Hyundai,Grand i10,2019,77000,Đã sử dụng,Số sàn,Xăng,,Hatchback,,,,,230.000.000 đ
Honda,Civic,2007,150000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,215.000.000 đ
Honda,Civic,2012,82000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,309.000.000 đ
Hyundai,Grand i10,2019,77000,Đã sử dụng,Số sàn,Xăng,,Hatchback,,,,,230.000.000 đ
Honda,Civic,2007,150000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,215.000.000 đ
Honda,Civic,2012,82000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,309.000.000 đ
Hyundai,Accent,2019,20000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,300.000.000 đ
Kia,K3,2015,67000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,366.000.000 đ
Toyota,Vios,2017,121000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,385.000.000 đ
Kia,Morning,2023,,Mới,Tự động,Xăng,Việt Nam,Hatchback,,,,,349.000.000 đ
Ford,Transit,2016,45000,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,560.000.000 đ
Mercedes Benz,C Class,2016,60000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,888.000.000 đ
Kia,Morning,2012,90000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,95.000.000 đ
Honda,City,2021,18000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,487.000.000 đ
Mercedes Benz,C Class,2016,60000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,888.000.000 đ
Toyota,Innova,2015,122377,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,355.000.000 đ
Ford,Ranger,2021,10000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,670.000.000 đ
Mazda,3,2018,66000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,455.000.000 đ
Ford,Transit,2018,92000,Đã sử dụng,Số sàn,Dầu,,Minivan (MPV),,,,,530.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,,,,,470.000.000 đ
Hyundai,Palisade,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,1.469.000.000 đ
Toyota,Fortuner,2018,80000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,735.000.000 đ
Volkswagen,Tiguan,2022,,Mới,Tự động,Xăng,Đức,Sedan,,,,,1.499.000.000 đ
